GEO_ID,Population,Households,Households No Vehicle,Workers 16+,Auto,Public Transit,Bike,Walk,WFH,Boro,% Households w/ Vehicle,% Auto,% Public Transit,% Active Transport
36081036100,2238,618,264,927,272,503,29,80,9,Queens,0.5728155339805825,0.29341963322545844,0.5426105717367853,0.11758360302049622
36081036300,1771,497,240,583,214,315,0,31,5,Queens,0.5171026156941649,0.3670668953687822,0.5403087478559176,0.05317324185248713
36081037100,1335,402,92,525,281,228,0,5,0,Queens,0.7711442786069652,0.5352380952380953,0.4342857142857143,0.009523809523809525
36081037700,3620,775,448,1801,296,1284,11,186,24,Queens,0.42193548387096774,0.16435313714602998,0.7129372570794004,0.10938367573570239
36081037900,6851,1383,737,3697,501,2565,24,571,36,Queens,0.4671005061460593,0.13551528266161753,0.6938057884771436,0.16094130375980525
36081041300,4696,1001,566,2136,418,1359,85,192,33,Queens,0.43456543456543456,0.1956928838951311,0.6362359550561798,0.12968164794007492
36005020000,4711,1469,967,1929,341,1338,0,195,4,Bronx,0.3417290673927842,0.1767755313634007,0.6936236391912908,0.10108864696734059
36005020501,6976,2858,2174,2333,391,1527,0,184,196,Bronx,0.23932820153953813,0.16759537076725248,0.6545220745820831,0.0788684097728247
36005020502,2160,926,603,890,221,555,0,71,30,Bronx,0.3488120950323974,0.24831460674157305,0.6235955056179775,0.07977528089887641
36005020900,4287,1732,1385,1672,327,1178,0,106,61,Bronx,0.20034642032332564,0.19557416267942584,0.7045454545454546,0.06339712918660287
36005021001,8930,3841,2644,4443,980,3059,16,259,35,Bronx,0.3116375943764645,0.2205716857978843,0.6884987620976818,0.06189511591267162
36005021002,7613,3003,1934,3495,836,2387,0,177,0,Bronx,0.35597735597735597,0.23919885550786837,0.6829756795422032,0.050643776824034335
36005021700,5124,1675,1204,2248,473,1477,0,153,99,Bronx,0.28119402985074626,0.21040925266903915,0.6570284697508897,0.06806049822064057
36005022101,4133,1262,923,1497,176,981,26,156,67,Bronx,0.26862123613312205,0.11756847027388109,0.655310621242485,0.12157648630594522
36005022102,5411,1678,1256,2146,334,1416,0,231,135,Bronx,0.25148986889153757,0.15563839701770738,0.6598322460391426,0.10764212488350419
36005022200,3293,1104,675,1582,331,1118,0,98,19,Bronx,0.38858695652173914,0.20922882427307207,0.706700379266751,0.061946902654867256
36005023800,2241,801,224,1086,322,541,0,154,36,Bronx,0.7203495630461922,0.2965009208103131,0.498158379373849,0.141804788213628
36081046000,6049,1913,1048,2814,970,1521,0,236,18,Queens,0.4521693674856247,0.3447050461975835,0.5405117270788913,0.08386638237384506
36081047900,5115,1655,669,2352,631,1462,15,78,110,Queens,0.5957703927492447,0.2682823129251701,0.6215986394557823,0.039540816326530615
36081050600,1421,446,95,755,412,312,0,31,0,Queens,0.7869955156950673,0.5456953642384106,0.41324503311258276,0.04105960264900662
36081051100,2290,760,204,1058,627,349,39,15,23,Queens,0.7315789473684211,0.5926275992438563,0.32986767485822305,0.05103969754253308
36081051700,2007,733,140,1096,473,445,6,92,63,Queens,0.8090040927694406,0.43156934306569344,0.40602189781021897,0.08941605839416059
