CDTA,Corr Auto,Corr Public Transit,Corr Active Transport
BK01,0.35284889080494397,-0.1474639492165127,0.016767986517952686
BK02,0.37591531295361674,-0.3469796610918996,-0.052307829543637746
BK03,0.5930104538620282,-0.27805739932236045,-0.1766136553064058
BK04,0.701025108121204,-0.3815703598219215,-0.39051596975111985
BK05,0.5064301925637478,-0.5006330842822752,0.004180166105965556
BK06,0.17080176487314375,-0.23101501814277606,-0.2397292380917956
BK07,-0.13315908247396474,0.17577632250761424,-0.5828683704948773
BK08,0.3540654267826011,-0.4603406989559359,0.022440549943798918
BK09,0.6852413480043621,-0.6012774263684578,0.3081023623787231
BK10,0.8361902044237036,-0.8125639864300106,-0.30398383958811803
BK11,0.57294006416339,-0.5733212765927592,-0.12345043678670974
BK12,0.7505718310933918,-0.23597423895287392,-0.23982471063878177
BK13,0.6631045039608735,-0.6105305401085406,-0.26145116207921143
BK14,0.7605329998226665,-0.7327223481413603,0.17580468188996043
BK15,0.6407617010200339,-0.558696591470817,-0.2114209513077854
BK16,0.4109060757925096,-0.4163791201197588,0.035049698725379184
BK17,0.8481842002421194,-0.71456235081479,-0.5748552040195132
BK18,0.7552249513079878,-0.7678650561504025,0.0584483340885234
BX01,0.7792434426713377,-0.4540561549954673,-0.410559404859075
BX02,0.5320473570715882,-0.29118724578902394,-0.18176214241011557
BX03,0.5623466562797685,-0.05432141294443711,-0.5976069190091439
BX04,0.724283073809669,-0.6545381449159169,-0.10209456167525606
BX05,0.598057114895384,-0.27195975613152007,-0.13414972786621832
BX06,0.6082139698721832,-0.15879206436229143,-0.25178820945433644
BX07,0.6382391039701337,-0.30920220358554595,-0.23146559118272778
BX08,0.8552799149836601,-0.8680618515738127,-0.40288827261248666
BX09,0.9060675273618016,-0.8222240891178944,-0.44868945634487867
BX10,0.8533513887173295,-0.8705763445698604,-0.34300870059228966
BX11,0.7853303093576111,-0.7616329723936568,-0.04948529439801507
BX12,0.8046702869956903,-0.787243959536648,-0.5153591643878224
MN01,0.6015882852051682,-0.7589850370938749,-0.2662605779729159
MN02,0.32188522979345524,-0.4000372559220091,-0.02310239980957785
MN03,0.12673150489447302,0.0223981369608627,-0.10154103625575006
MN04,0.4533648686417515,-0.011949321977629667,-0.03695682979066472
MN05,0.19588455062043877,0.24442763994298133,-0.3476399362710663
MN06,0.5698763325461759,-0.11133581023722437,-0.24764411205450726
MN07,0.18306913132155717,-0.11463569943354122,0.01273326176955999
MN08,0.49599619591008137,-0.5023389982283262,0.0348591846459041
MN09,0.601660875247609,-0.49141535892218297,0.3364834052707969
MN10,0.1871563878988039,-0.3517760107391889,0.0019656389312961006
MN11,0.06273852462813193,-0.19856831445002163,0.13930418159706304
MN12,0.2900038152114716,-0.4328454995795186,0.004910627905106635
QN01,0.7461497841820828,-0.6477296424011277,-0.15030681986159028
QN02,0.8222300519465648,-0.7211430094619694,0.012988210710381592
QN03,0.8530798346025402,-0.7680294969128939,-0.5980485974931884
QN04,0.6371686114030064,-0.26636001247639535,-0.4758690509625807
QN05,0.8665673512929675,-0.8231876020451319,-0.45631829792659057
QN06,0.6952449451543662,-0.5662796254296946,0.03214925428088284
QN07,0.8729329073611889,-0.6729343598554995,-0.8450228361113541
QN08,0.6387995290694003,-0.579271304408982,-0.4700354692725493
QN09,0.5550427627885717,-0.3929905901416505,-0.149756524984322
QN10,0.5538885161234557,-0.4382777154638233,-0.4965501660010988
QN11,0.3908810080687368,-0.3697112165869628,-0.1844589476724494
QN12,0.8062237172331701,-0.7089917108835544,-0.6651847859158363
QN13,0.46790454018434724,-0.46847894336881696,-0.00027060691503946185
QN14,0.8026008219332091,-0.7951612153582956,-0.2236543154704297
SI01,0.8123877684754999,-0.7390692962481095,-0.35522282374167763
SI02,0.5609240826568469,-0.47684807807899593,-0.3849358166453236
SI03,0.48210292652110454,-0.4093223758048354,-0.28493614286580965
